Year,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Benin,Bhutan,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Canada,Cape Verde,Chad,Chile,China,Colombia,Congo,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,North Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,French Guiana,French Indochina,French West Africa,Gabon,Georgia,Germany,Ghana,Greece,Guadeloupe,Guatemala,Guinea,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Iran,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Libya,Lithuania,Luxembourg,Macedonia (Republic of),Madagascar,Malawi,Malaysia,Mali,Martinique,Mexico,Mongolia,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Bolivia,Poland,Portugal,Qatar,Cameroon,South Korea,Moldova,Sudan,Réunion,Romania,Russia,Rwanda,Ryukyu Islands,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,Somalia,South Africa,Spain,Sri Lanka,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United Arab Emirates,United Kingdom,Tanzania,USA,Uruguay,USSR,Uzbekistan,Venezuela,Viet Nam,Yemen,Zambia,Zimbabwe,World
1900,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,,,0.0,,0.0,,0.0,,,0.0,,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,,,,0.0,,1386.03967695578,,0.0,,,0.0,,,,
1901,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,,,,0.0,,1655.96681893866,,0.0,,,0.0,,,,
1902,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,,,,0.0,,2144.73144461341,,0.0,,,0.0,,,,
1903,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,,,,0.0,,2532.76463875892,,0.0,,,0.0,,,0.0,
1904,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,,,,0.0,,2731.69370297504,,0.0,,0.0,0.0,,,0.0,
1905,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,,,,0.0,,3490.59231135449,,0.0,,,0.0,,,0.0,
1906,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,,,,0.0,,4469.62115793723,,0.0,,,0.0,,,0.0,
1907,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,,,,0.0,,4601.06843665763,,0.0,,,0.0,,,0.0,
1908,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,0.0,,4684.42524755349,,0.0,,0.0,0.0,,,0.0,
1909,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,0.0,,5914.09333880884,,0.0,,,0.0,,,0.0,
