Year,AUS,AUT,BEL,BGR,BLR,CAN,CHE,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ISL,ITA,JPN,KAZ,LIE,LTU,LUX,LVA,MLT,NLD,NOR,NZL,POL,PRT,ROU,RUS,SVK,SVN,SWE,TUR,UKR,USA
1986,,,,,,,,,,,,,,,,,,,1687.39547296687,,,,,,,,,,,,,,,,,,,502.21853191505534,,,,
1987,,,,,,,,,,,,,,,,,,,1839.27764762335,,,,,,,,,,,,,,,,,,,473.95236996380373,,,,
1988,,,,2406.336115203853,,,,,,,,,,,,,,,1785.05465866956,,,,,,,,,,,,,,7081.723,,,,,521.875574467427,,,,
1989,,,,2245.8142403483207,,,,,,,,,,,,,,,1812.80002538013,,,,,,,,,,,,,,7267.402,,,,,477.2014007776087,,,,
1990,3462.871712,2033.412,2823.78288,2100.41016293388,990.77292,5756.21135476163,2580.7894403839,667.664,2489.1842,15145.81,882.403,12279.005699,483.037984250378,729.179147742579,10937.2990894559,7295.26328666667,5761.69430149792,1085.78984872952,1750.72414228801,884.0,51.56122663125,15845.934944,38701.1034160426,3299.5,0.0,1668.07250488826,569.88055968,345.7830957,0.0,415.8,634.2633317,448.7475481124,5453.461,3176.37412052445,4445.29696531972,34609.2761142857,1464.497066658,470.454422776776,1271.95391111134,10444.5449283915,9400.941792,33484.1428967546
1991,3183.032672,2004.981,2880.4642,1239.96594790805,952.33014,4723.31373736476,2248.4765537361,628.941,2308.9248,13605.1,1087.816,11700.779075,478.962947316089,568.880555147356,10386.0810333028,5994.17610000001,5715.76650991859,702.559711393924,1101.69593406133,782.0,47.979506365875,15692.163536,40346.7447420355,3011.063,0.0,1549.96740987576,544.0950278946,319.70221488,0.0,497.88,591.8636592,437.701747494,5414.315,3271.23302887446,3200.74852254117,32836.8584845714,1038.04605624,416.739536557349,1137.05209300746,12020.776977185,8918.122752,32736.4665181883
1992,2923.411392,2105.0,3088.58049,1075.58507978004,913.26312,4756.26708902079,2107.5963035533,685.507,2468.4165,14300.99,1193.413,10438.315285,315.368860380106,473.455359406405,9343.43451034131,5456.38602666667,5861.1380412766,826.227724267783,858.783547677928,753.0,45.0991272375,16427.096,41665.7911450655,2558.43,0.0,754.952966307366,549.8779753984,141.94857642,0.0,449.0,653.31441536,477.2265830968,5538.101,3135.72145686376,2905.96466774601,26717.3832891429,1306.853505132,384.853466924896,1089.03641612395,13265.4461702534,8678.928468,32992.9762291369
1993,3004.697504,2031.869,3082.2614,1131.17599328407,858.90222,4844.14269343688,1913.097202341,746.879,2194.5528,14387.38,1206.093,9913.557865,228.119245016218,361.323370778704,8591.86888287462,5524.92248000001,5875.02805727096,687.130726881028,1021.7677505941,729.0,39.0523194061875,14065.2288,41224.4942565853,1575.41,0.0,363.901523829566,456.787458673,15.80661277482,0.0,458.0,837.9160222,489.2571302796,5147.17,3195.47332451904,2833.43087053551,21994.9494034286,1028.750121408,288.680489707976,1092.10124656332,13048.6413703256,6397.55424,34837.9730547432
1994,3484.27648,2102.255,3178.67026,1412.4408420575,633.29148,5711.91428704576,2109.6042931594,783.776,2208.3828,15188.74,1192.196,11498.993083,330.054910904425,363.591744693612,8775.43341156502,6367.81031333334,5916.40893765616,841.868079368227,1180.85828506921,859.0,36.5384271735,13791.223264,42297.1164173657,808.28,0.0,381.595191935907,514.721992404,76.602969,0.0,463.0,845.0,496.923973378,6643.182,3292.0184030896,2770.90899307091,16475.4454354286,1115.124849222,382.651842419691,1109.4686190531,13493.1905146987,4990.997088,36310.4324502497
1995,3357.749696,1631.326,3255.31028,1953.58657806665,565.87356,6464.34914985851,1989.3900723308,751.019,2005.014,15408.3137,1203.777,12364.557166,347.898301012144,377.933265750747,8635.39989967834,6284.90331333334,6356.3923947638,628.672091906467,1185.84044632079,879.0,36.835774124625,15310.15402,42142.0272653538,704.37,0.0,307.970508231586,458.759109427,91.06814111725,0.0,428.0,875.0,538.6689418124,6666.458,3462.06077916596,3145.84097873058,16646.4151542857,1154.632572258,406.123693889207,1296.19960242537,14132.7002654583,3407.573568,37075.2788500357
1996,3243.61632,1634.247,3008.77069,1922.07975833277,645.8283,6123.83118274617,1790.9522842087,810.857,2116.492,14664.43326,1281.947,12114.611543,361.466407145719,381.417632291008,8435.57679844679,6416.44908666667,6374.25098675654,684.689105651374,1110.50288918445,983.0,40.8174215203125,13987.542968,42559.5398041253,443.172,0.0,317.549267958495,452.37784353872,102.83505765825,0.0,316.0,863.0,510.3153935112,6218.924,3387.74138931201,3200.03847998867,12723.1542994286,1100.406285738,436.074234640106,1224.91056560283,14661.7493111033,2160.780648,37308.8951993581
1997,3184.589056,1760.917,3161.90774,1542.16505082089,834.08868,6591.23493196502,1606.9525908245,780.066,2083.3589,15123.73179,1342.881,12751.533891,396.068200750633,449.988083589346,8111.45428778775,6710.49258000001,6407.69471514495,792.256908121832,1173.86910212893,1145.0,45.4719406640625,14232.612492,39926.0833893907,260.96,0.0,366.071817605981,467.09460318612,104.6880056095,0.0,376.0,922.2,532.238844622,6738.931,3560.88918131746,3004.93726368244,12272.9130102857,1214.668818048,441.486957524364,1105.40567550064,15104.5506063452,2415.37275,38560.7458373752
1998,3475.413088,1598.674,3174.8276,1096.50073543418,921.37824,6760.39876580115,1607.4893429245,739.513,2067.6516,15390.65728,1389.83,13808.94194,403.515049943548,447.847133647334,8686.27349762968,6838.16936000001,6383.23512488354,852.929004146978,1221.69885374117,1059.0,53.18081853525,14538.381088,35362.5993825775,247.404,0.0,411.704670554151,468.97972668896,101.63683483575,0.0,432.0,900.082,488.933588424,6334.246,3536.8115313864,2915.94595965618,11922.6669257143,1822.39933718401,460.134769880198,1133.43763630929,15292.2715067775,2787.526992,39460.8711922254
1999,3519.991168,1607.357,3113.23257,1084.75660797246,890.89452,7047.60809593953,1605.8629840615,740.096,1962.9098,15614.94268,1354.876,14431.604035,361.043441585024,478.64405127208,8386.27661074137,6530.86074666667,6366.36369124215,1115.05986042158,1224.44014710069,1166.0,60.3944194179375,15277.307808,35010.1249425949,333.026,0.0,345.806498204705,491.7621149594,135.67242994575,0.0,517.0,892.3045,532.1475386452,6177.662,3827.13142951703,2644.77201731643,13172.5018354286,1827.38763910302,464.529219208869,1139.19338787444,14589.7788101232,2534.9263992,40238.7251838445
2000,3620.85584,1711.556,3270.29903,1187.81062987483,866.75724,7171.44035118383,1724.933386165,762.708,1936.8612,15101.85922,1385.26,14727.623971,373.71848349732,504.843843616835,8560.92514803824,6331.88394666667,6536.76317676085,1243.58855973023,1353.05754684521,1700.904,64.44204349275,15862.118916,35085.7429068556,475.07,0.0,292.54133849195,519.2793219044,86.33438827325,0.0,469.0,889.7321,530.7816490548,6114.4465,3809.08771545204,2655.95952800322,15112.57704,1190.45249050087,490.673884605486,1287.70864177102,15183.7338589381,2261.37268182,41445.3094022825
2001,3540.902528,1719.922,2957.38873,1204.32337265832,822.74832,6951.82782306179,1757.8781565588,745.044,1628.8356,13370.31318,1387.852,15014.36895,379.768403467416,503.630774616228,8655.3297627933,5843.83807333334,6565.91924766357,1423.55128624991,1356.59333091564,1851.19,57.68892367875,16394.4841495507,34374.1852693823,601.0699,0.0,283.389164780861,452.7115193784,106.037950248608,0.0,478.0,852.9602,534.7431749308,4956.9381,3626.93968635881,2768.36439865271,15862.5410742857,1209.31503351606,504.961811235356,1331.58740800468,15086.9303515302,2474.65972368,41613.3674887661
2002,3487.737952,1735.653,2993.24657,1190.89625581162,982.44972,7145.21432773192,1690.5941338154,765.985,1403.4794,12695.69208,1416.3,15530.168284,356.320512712884,484.866414364636,8642.74248082596,5988.26483090001,6313.26653749489,1392.12107386063,1425.78310914041,1859.797,38.26828147275,16288.7788242193,32417.2534357654,622.7241,0.0,290.49991111852,468.219664759,114.398659118984,0.0,488.79,875.198,550.921391353,4670.148,3910.19323480859,2642.09401872191,17116.1612914286,1165.23968718606,443.472043487521,1280.32695526988,15513.2931684073,2817.472815,43163.872435271
2003,3584.01616,1754.471,2933.46982,1247.57107355204,1165.14396,7212.9462331501,1653.7842115495,750.984,1484.85155066712,13373.41368,1329.911,16037.505734,335.282000562258,466.621182756018,8555.68044721851,5867.54947533334,6368.12861071883,1383.62282057713,1411.83511012323,2126.951,32.11272642375,16938.4097333156,31935.2734533086,784.3956,0.0,292.462884947714,411.1230712118,125.349958203523,0.0,433.922,904.099,534.082053312,4565.8272,3616.0724679374,2650.04416981418,18666.2972571429,921.646674872964,451.411435655107,1206.00762215242,16021.7812724247,3612.12726888,43349.1005429743
